Month,Service Type,CBD Relation,Day Type,Time Period,Trips
12/01/2019,green,CBD-Null,1,Peak,2
12/01/2019,green,Entering CBD,2,Overnight,3062
12/01/2019,fhv,Within CBD,1,Peak,8785
12/01/2019,green,Leaving CBD,1,Peak,2570
12/01/2019,fhv,Entering CBD,2,Overnight,1281
12/01/2019,green,Entering CBD,1,Overnight,3156
12/01/2019,green,Leaving CBD,1,Overnight,152
12/01/2019,fhv,Leaving CBD,2,Overnight,2208
12/01/2019,fhv,CBD-Null,1,Overnight,6221
12/01/2019,fhv,CBD-Null,2,Peak,5809
12/01/2019,green,Within CBD,1,Overnight,9
12/01/2019,green,CBD-Null,2,Overnight,1
12/01/2019,fhv,Within CBD,2,Peak,950
12/01/2019,fhv,Leaving CBD,1,Overnight,11718
12/01/2019,green,Within CBD,2,Peak,51
01/01/2020,fhvhv,Within CBD,1,Overnight,576272
01/01/2020,fhvhv,Within CBD,1,Peak,1960180
01/01/2020,fhvhv,Leaving CBD,1,Peak,1081134
01/01/2020,fhvhv,Within CBD,2,Overnight,370905
01/01/2020,fhvhv,Leaving CBD,2,Overnight,331200
01/01/2020,fhvhv,Entering CBD,1,Overnight,226618
01/01/2020,fhvhv,Leaving CBD,1,Overnight,624838
01/01/2020,fhvhv,Leaving CBD,2,Peak,311499
01/01/2020,fhvhv,Entering CBD,1,Peak,1000737
01/01/2020,fhvhv,Entering CBD,2,Peak,331644
01/01/2020,fhvhv,Within CBD,2,Peak,665835
01/01/2020,fhvhv,Entering CBD,2,Overnight,179979
01/01/2020,yellow,Leaving CBD,2,Peak,135270
01/01/2020,yellow,CBD-Null,2,Overnight,1297
01/01/2020,yellow,Entering CBD,1,Overnight,74915
01/01/2020,yellow,Leaving CBD,2,Overnight,107866
01/01/2020,yellow,Leaving CBD,1,Overnight,232671
01/01/2020,yellow,Within CBD,2,Overnight,266656
01/01/2020,yellow,Entering CBD,1,Peak,510713
